Sample ID;Picking sessions;Picking ToC;Library;Reads;Sex;Level 1;Level 2;Level 3;Content
L128_A01;RT-1;RT;L128;350;male;Empty well;Empty well;Empty well;no cell
L128_B01;RT-1;RT;L128;35921;male;NP;NP1;NP1;cell
L128_C01;RT-1;RT;L128;6581;male;TH;TH;TH;cell
L128_D01;RT-1;RT;L128;6387;male;NF;NF4/5;NF5;cell
L128_E01;RT-1;RT;L128;12485;male;TH;TH;TH;cell
L128_F01;RT-1;RT;L128;5387;male;NP;NP1;NP1;cell
L128_G01;RT-1;RT;L128;56232;male;NP;NP1;NP1;cell
L128_H01;RT-1;RT;L128;38759;male;NF;NF2/3;NF2;cell
L128_A02;RT-1;RT;L128;38620;male;NF outlier;NF outlier;NF outlier;cell
L128_B02;RT-1;RT;L128;16615;male;NF;NF4/5;NF5;cell
L128_C02;RT-1;RT;L128;50280;male;NF;NF4/5;NF5;cell
L128_D02;RT-1;RT;L128;9133;male;TH;TH;TH;cell
L128_E02;RT-1;RT;L128;33694;male;NF;NF2/3;NF3;cell
L128_F02;RT-1;RT;L128;16528;male;NP;NP1;NP1;cell
L128_G02;RT-1;RT;L128;10207;male;NP;NP1;NP1;cell
L128_H02;RT-1;RT;L128;14562;male;NP;NP1;NP1;cell
L128_A03;RT-1;RT;L128;30167;male;NF;NF2/3;NF2;cell
L128_B03;RT-1;RT;L128;14529;male;NF;NF2/3;NF2;cell
L128_C03;RT-1;RT;L128;681;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L128_D03;RT-1;RT;L128;45321;male;NF;NF2/3;NF2;cell
L128_E03;RT-1;RT;L128;64567;male;NF;NF2/3;NF2;cell
L128_F03;RT-1;RT;L128;18774;male;NP;NP2;NP2;cell
L128_G03;RT-1;RT;L128;26240;male;TH;TH;TH;cell
L128_H03;RT-1;RT;L128;6012;male;PEP;PEP2;PEP2;cell
L128_A04;RT-1;RT;L128;18810;male;NP;NP1;NP1;cell
L128_B04;RT-1;RT;L128;23138;male;NP;NP1;NP1;cell
L128_C04;RT-1;RT;L128;29655;male;NF;NF4/5;NF4;cell
L128_D04;RT-1;RT;L128;5681;male;NP;NP2;NP2;cell
L128_E04;RT-1;RT;L128;6998;male;PEP;PEP1;PEP1;cell
L128_F04;RT-1;RT;L128;54825;male;NF;NF2/3;NF2;cell
L128_G04;RT-1;RT;L128;49430;male;NF;NF4/5;NF5;cell
L128_H04;RT-1;RT;L128;17154;male;NP;NP1;NP1;cell
L128_A05;RT-1;RT;L128;1081;male;NP;NP1;NP1;cell
L128_B05;RT-1;RT;L128;37761;male;NF;NF4/5;NF5;cell
L128_C05;RT-1;RT;L128;28930;male;NP;NP1;NP1;cell
L128_D05;RT-1;RT;L128;18178;male;NF;NF4/5;NF4;cell
L128_E05;RT-1;RT;L128;3369;male;PEP;PEP1;PEP1;cell
L128_F05;RT-1;RT;L128;15823;male;NP;NP1;NP1;cell
L128_G05;RT-1;RT;L128;62447;male;NF;NF2/3;NF2;cell
L128_H05;RT-1;RT;L128;4613;male;NP;NP1;NP1;cell
L128_A06;RT-1;RT;L128;12174;male;TH;TH;TH;cell
L128_B06;RT-1;RT;L128;6358;male;TH;TH;TH;cell
L128_C06;RT-1;RT;L128;9418;male;TH;TH;TH;cell
L128_D06;RT-1;RT;L128;37396;male;NF;NF2/3;NF2;cell
L128_E06;RT-1;RT;L128;15526;male;NP;NP2;NP2;cell
L128_F06;RT-1;RT;L128;30494;male;NF;NF2/3;NF3;cell
L128_G06;RT-1;RT;L128;24458;male;NP;NP1;NP1;cell
L128_H06;RT-1;RT;L128;12153;male;NP;NP1;NP1;cell
L128_A07;RT-1;RT;L128;661;male;Empty well;Empty well;Empty well;no cell
L128_B07;RT-1;RT;L128;198;male;Empty well;Empty well;Empty well;no cell
L128_C07;RT-1;RT;L128;638;male;Empty well;Empty well;Empty well;no cell
L128_D07;RT-1;RT;L128;958;male;Empty well;Empty well;Empty well;no cell
L128_E07;RT-1;RT;L128;108;male;Empty well;Empty well;Empty well;no cell
L128_F07;RT-1;RT;L128;1185;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L128_G07;RT-1;RT;L128;11503;male;NP;NP1;NP1;cell
L128_H07;RT-1;RT;L128;56064;male;NF;NF1;NF1;cell
L128_A08;RT-1;RT;L128;51240;male;NF;NF1;NF1;cell
L128_B08;RT-1;RT;L128;7205;male;TH;TH;TH;cell
L128_C08;RT-1;RT;L128;23689;male;NP;NP1;NP1;cell
L128_D08;RT-1;RT;L128;17751;male;NP;NP1;NP1;cell
L128_E08;RT-1;RT;L128;6892;male;NP;NP2;NP3;cell
L128_F08;RT-1;RT;L128;17486;male;NP;NP2;NP2;cell
L128_G08;RT-1;RT;L128;16881;male;TH;TH;TH;cell
L128_H08;RT-1;RT;L128;83098;male;NF;NF2/3;NF3;cell
L128_A09;RT-1;RT;L128;38932;male;PEP;PEP2;PEP2;cell
L128_B09;RT-1;RT;L128;12221;male;NF;NF1;NF1;cell
L128_C09;RT-1;RT;L128;17423;male;TH;TH;TH;cell
L128_D09;RT-1;RT;L128;4963;male;PEP;PEP1;PEP1;cell
L128_E09;RT-1;RT;L128;24871;male;TH;TH;TH;cell
L128_F09;RT-1;RT;L128;52914;male;PEP;PEP2;PEP2;cell
L128_G09;RT-1;RT;L128;17666;male;TH;TH;TH;cell
L128_H09;RT-1;RT;L128;55527;male;NF;NF2/3;NF2;cell
L128_A10;RT-1;RT;L128;22954;male;TH;TH;TH;cell
L128_B10;RT-1;RT;L128;22448;male;NP;NP1;NP1;cell
L128_C10;RT-1;RT;L128;34748;male;NP;NP2;NP2;cell
L128_D10;RT-1;RT;L128;36192;male;NF;NF1;NF1;cell
L128_E10;RT-1;RT;L128;49072;male;NF;NF2/3;NF2;cell
L128_F10;RT-1;RT;L128;12128;male;PEP;PEP1;PEP1;cell
L128_G10;RT-1;RT;L128;5997;male;TH;TH;TH;cell
L128_H10;RT-1;RT;L128;8973;male;NP;NP2;NP2;cell
L128_A11;RT-1;RT;L128;12017;male;PEP;PEP1;PEP1;cell
L128_B11;RT-1;RT;L128;8929;male;NP;NP1;NP1;cell
L128_C11;RT-1;RT;L128;7279;male;TH;TH;TH;cell
L128_D11;RT-1;RT;L128;5123;male;TH;TH;TH;cell
L128_E11;RT-1;RT;L128;23327;male;NF;NF1;NF1;cell
L128_F11;RT-1;RT;L128;18369;male;TH;TH;TH;cell
L128_G11;RT-1;RT;L128;16985;male;TH;TH;TH;cell
L128_H11;RT-1;RT;L128;6815;male;TH;TH;TH;cell
L128_A12;RT-1;RT;L128;2459;male;PEP;PEP1;PEP1;cell
L128_B12;RT-1;RT;L128;12302;male;TH;TH;TH;cell
L128_C12;RT-1;RT;L128;21363;male;NP;NP1;NP1;cell
L128_D12;RT-1;RT;L128;22402;male;NP;NP1;NP1;cell
L128_E12;RT-1;RT;L128;10278;male;TH;TH;TH;cell
L128_F12;RT-1;RT;L128;21290;male;TH;TH;TH;cell
L128_G12;RT-1;RT;L128;6209;male;NP;NP2;NP3;cell
L128_H12;RT-1;RT;L128;5215;male;PEP;PEP1;PEP1;cell
L129_A01;RT-1;RT;L129;29221;female;NF;NF4/5;NF4;cell
L129_B01;RT-1;RT;L129;48490;female;NF;NF4/5;NF5;cell
L129_C01;RT-1;RT;L129;3715;female;TH;TH;TH;cell
L129_D01;RT-1;RT;L129;4767;female;NF;NF4/5;NF5;cell
L129_E01;RT-1;RT;L129;9057;female;NP;NP1;NP1;cell
L129_F01;RT-1;RT;L129;8970;female;NF;NF2/3;NF2;cell
L129_G01;RT-1;RT;L129;13191;female;TH;TH;TH;cell
L129_H01;RT-1;RT;L129;24803;female;NP;NP1;NP1;cell
L129_A02;RT-1;RT;L129;30698;female;NF;NF2/3;NF2;cell
L129_B02;RT-1;RT;L129;14059;female;NP;NP1;NP1;cell
L129_C02;RT-1;RT;L129;13643;female;TH;TH;TH;cell
L129_D02;RT-1;RT;L129;9174;female;NP;NP2;NP2;cell
L129_E02;RT-1;RT;L129;24260;female;NF;NF2/3;NF2;cell
L129_F02;RT-1;RT;L129;23821;female;NF;NF1;NF1;cell
L129_G02;RT-1;RT;L129;3661;female;TH;TH;TH;cell
L129_H02;RT-1;RT;L129;4767;female;TH;TH;TH;cell
L129_A03;RT-1;RT;L129;7215;female;TH;TH;TH;cell
L129_B03;RT-1;RT;L129;6167;female;NP;NP2;NP2;cell
L129_C03;RT-1;RT;L129;12909;female;NP;NP1;NP1;cell
L129_D03;RT-1;RT;L129;46640;female;NF;NF2/3;NF2;cell
L129_E03;RT-1;RT;L129;24336;female;NP;NP1;NP1;cell
L129_F03;RT-1;RT;L129;19136;female;NP;NP1;NP1;cell
L129_G03;RT-1;RT;L129;12395;female;TH;TH;TH;cell
L129_H03;RT-1;RT;L129;28597;female;NF;NF1;NF1;cell
L129_A04;RT-1;RT;L129;8609;female;TH;TH;TH;cell
L129_B04;RT-1;RT;L129;22239;female;NP;NP1;NP1;cell
L129_C04;RT-1;RT;L129;17366;female;NF;NF4/5;NF4;cell
L129_D04;RT-1;RT;L129;784;female;PEP;PEP1;PEP1;cell
L129_E04;RT-1;RT;L129;40997;female;NF;NF1;NF1;cell
L129_F04;RT-1;RT;L129;26033;female;NP;NP1;NP1;cell
L129_G04;RT-1;RT;L129;21618;female;PEP;PEP2;PEP2;cell
L129_H04;RT-1;RT;L129;5446;female;NP;NP2;NP3;cell
L129_A05;RT-1;RT;L129;65793;female;NF;NF4/5;NF5;cell
L129_B05;RT-1;RT;L129;14866;female;TH;TH;TH;cell
L129_C05;RT-1;RT;L129;14865;female;NP;NP2;NP2;cell
L129_D05;RT-1;RT;L129;23307;female;NF;NF4/5;NF4;cell
L129_E05;RT-1;RT;L129;10440;female;NF;NF2/3;NF2;cell
L129_F05;RT-1;RT;L129;12797;female;TH;TH;TH;cell
L129_G05;RT-1;RT;L129;39712;female;NF;NF2/3;NF2;cell
L129_H05;RT-1;RT;L129;6519;female;TH;TH;TH;cell
L129_A06;RT-1;RT;L129;64527;female;NF;NF2/3;NF3;cell
L129_B06;RT-1;RT;L129;34549;female;NP;NP1;NP1;cell
L129_C06;RT-1;RT;L129;3146;female;PEP;PEP1;PEP1;cell
L129_D06;RT-1;RT;L129;11648;female;TH;TH;TH;cell
L129_E06;RT-1;RT;L129;58009;female;NF;NF4/5;NF5;cell
L129_F06;RT-1;RT;L129;11156;female;TH;TH;TH;cell
L129_G06;RT-1;RT;L129;15597;female;TH;TH;TH;cell
L129_H06;RT-1;RT;L129;28816;female;NF;NF1;NF1;cell
L129_A07;RT-1;RT;L129;666;male;Medium;Medium;Medium;no cell
L129_B07;RT-1;RT;L129;7467;male;TH;TH;TH;cell
L129_C07;RT-1;RT;L129;20790;male;NP;NP2;NP2;cell
L129_D07;RT-1;RT;L129;449;male;NoN;NoN;NoN;cell
L129_E07;RT-1;RT;L129;1251;male;PEP;PEP1;PEP1;cell
L129_F07;RT-1;RT;L129;7154;male;TH;TH;TH;cell
L129_G07;RT-1;RT;L129;6217;male;PEP;PEP1;PEP1;cell
L129_H07;RT-1;RT;L129;81879;male;NF;NF2/3;NF2;cell
L129_A08;RT-1;RT;L129;6799;male;PEP;PEP1;PEP1;cell
L129_B08;RT-1;RT;L129;1069;male;PEP;PEP1;PEP1;cell
L129_C08;RT-1;RT;L129;7016;male;PEP;PEP1;PEP1;cell
L129_D08;RT-1;RT;L129;5172;male;PEP;PEP1;PEP1;cell
L129_E08;RT-1;RT;L129;4596;male;PEP;PEP1;PEP1;cell
L129_F08;RT-1;RT;L129;2912;male;PEP;PEP1;PEP1;cell
L129_G08;RT-1;RT;L129;6654;male;PEP;PEP1;PEP1;cell
L129_H08;RT-1;RT;L129;3719;male;PEP;PEP1;PEP1;cell
L129_A09;RT-1;RT;L129;663;male;NoN;NoN;NoN;cell
L129_B09;RT-1;RT;L129;5560;male;TH;TH;TH;cell
L129_C09;RT-1;RT;L129;21653;male;NP;NP1;NP1;cell
L129_D09;RT-1;RT;L129;8975;male;TH;TH;TH;cell
L129_E09;RT-1;RT;L129;26658;male;TH;TH;TH;cell
L129_F09;RT-1;RT;L129;11398;male;TH;TH;TH;cell
L129_G09;RT-1;RT;L129;19328;male;TH;TH;TH;cell
L129_H09;RT-1;RT;L129;15701;male;TH;TH;TH;cell
L129_A10;RT-1;RT;L129;46487;male;NF;NF1;NF1;cell
L129_B10;RT-1;RT;L129;30737;male;NF;NF2/3;NF2;cell
L129_C10;RT-1;RT;L129;29502;male;>1 cell;>1 cell;>1 cell;>1 cell
L129_D10;RT-1;RT;L129;99455;male;NF;NF2/3;NF2;cell
L129_E10;RT-1;RT;L129;18887;male;NP;NP1;NP1;cell
L129_F10;RT-1;RT;L129;8530;male;PEP;PEP2;PEP2;cell
L129_G10;RT-1;RT;L129;33627;male;NF;NF2/3;NF2;cell
L129_H10;RT-1;RT;L129;7648;male;NP;NP1;NP1;cell
L129_A11;RT-1;RT;L129;62554;male;NF;NF1;NF1;cell
L129_B11;RT-1;RT;L129;4470;male;TH;TH;TH;cell
L129_C11;RT-1;RT;L129;14139;male;NP;NP1;NP1;cell
L129_D11;RT-1;RT;L129;19054;male;NF;NF2/3;NF2;cell
L129_E11;RT-1;RT;L129;7869;male;NP;NP1;NP1;cell
L129_F11;RT-1;RT;L129;16338;male;NF;NF4/5;NF4;cell
L129_G11;RT-1;RT;L129;18204;male;NP;NP2;NP2;cell
L129_H11;RT-1;RT;L129;12145;male;NP;NP2;NP2;cell
L129_A12;RT-1;RT;L129;24973;male;PEP;PEP2;PEP2;cell
L129_B12;RT-1;RT;L129;16466;male;TH;TH;TH;cell
L129_C12;RT-1;RT;L129;2910;male;PEP;PEP1;PEP1;cell
L129_D12;RT-1;RT;L129;19575;male;PEP;PEP2;PEP2;cell
L129_E12;RT-1;RT;L129;8730;male;PEP;PEP1;PEP1;cell
L129_F12;RT-1;RT;L129;93212;male;NF;NF2/3;NF3;cell
L129_G12;RT-1;RT;L129;14032;male;TH;TH;TH;cell
L129_H12;RT-1;RT;L129;18496;male;NP;NP1;NP1;cell
L130_A01;RT-1;RT;L130;211;male;NoN;NoN;NoN;cell
L130_B01;RT-1;RT;L130;1184;male;NoN;NoN;NoN;cell
L130_C01;RT-1;RT;L130;7909;male;NP;NP1;NP1;cell
L130_D01;RT-1;RT;L130;10182;male;NF;NF2/3;NF2;cell
L130_E01;RT-1;RT;L130;11270;male;TH;TH;TH;cell
L130_F01;RT-1;RT;L130;10921;male;PEP;PEP2;PEP2;cell
L130_G01;RT-1;RT;L130;25017;male;TH;TH;TH;cell
L130_H01;RT-1;RT;L130;77483;male;PEP;PEP2;PEP2;cell
L130_A02;RT-1;RT;L130;5403;male;TH;TH;TH;cell
L130_B02;RT-1;RT;L130;22758;male;TH;TH;TH;cell
L130_C02;RT-1;RT;L130;17464;male;TH;TH;TH;cell
L130_D02;RT-1;RT;L130;20550;male;NF;NF1;NF1;cell
L130_E02;RT-1;RT;L130;14635;male;TH;TH;TH;cell
L130_F02;RT-1;RT;L130;18895;male;PEP;PEP2;PEP2;cell
L130_G02;RT-1;RT;L130;2367;male;PEP;PEP1;PEP1;cell
L130_H02;RT-1;RT;L130;24379;male;NF;NF4/5;NF4;cell
L130_A03;RT-1;RT;L130;7643;male;TH;TH;TH;cell
L130_B03;RT-1;RT;L130;6389;male;NF;NF4/5;NF4;cell
L130_C03;RT-1;RT;L130;15143;male;TH;TH;TH;cell
L130_D03;RT-1;RT;L130;16664;male;TH;TH;TH;cell
L130_E03;RT-1;RT;L130;15871;male;NF;NF4/5;NF4;cell
L130_F03;RT-1;RT;L130;13867;male;PEP;PEP1;PEP1;cell
L130_G03;RT-1;RT;L130;18788;male;TH;TH;TH;cell
L130_H03;RT-1;RT;L130;10194;male;TH;TH;TH;cell
L130_A04;RT-1;RT;L130;15509;male;NP;NP1;NP1;cell
L130_B04;RT-1;RT;L130;36363;male;PEP;PEP2;PEP2;cell
L130_C04;RT-1;RT;L130;20823;male;TH;TH;TH;cell
L130_D04;RT-1;RT;L130;2554;male;NP;NP1;NP1;cell
L130_E04;RT-1;RT;L130;11849;male;TH;TH;TH;cell
L130_F04;RT-1;RT;L130;19649;male;NP;NP1;NP1;cell
L130_G04;RT-1;RT;L130;9435;male;NP;NP1;NP1;cell
L130_H04;RT-1;RT;L130;36677;male;NF;NF4/5;NF5;cell
L130_A05;RT-1;RT;L130;30229;male;NP;NP1;NP1;cell
L130_B05;RT-1;RT;L130;14647;male;TH;TH;TH;cell
L130_C05;RT-1;RT;L130;14335;male;TH;TH;TH;cell
L130_D05;RT-1;RT;L130;29581;male;NF;NF1;NF1;cell
L130_E05;RT-1;RT;L130;4870;male;TH;TH;TH;cell
L130_F05;RT-1;RT;L130;10038;male;TH;TH;TH;cell
L130_G05;RT-1;RT;L130;9553;male;TH;TH;TH;cell
L130_H05;RT-1;RT;L130;11281;male;TH;TH;TH;cell
L130_A06;RT-1;RT;L130;19522;male;TH;TH;TH;cell
L130_B06;RT-1;RT;L130;26291;male;NF;NF4/5;NF5;cell
L130_C06;RT-1;RT;L130;14046;male;NP;NP1;NP1;cell
L130_D06;RT-1;RT;L130;12002;male;TH;TH;TH;cell
L130_E06;RT-1;RT;L130;21618;male;NF;NF4/5;NF4;cell
L130_F06;RT-1;RT;L130;11685;male;NP;NP1;NP1;cell
L130_G06;RT-1;RT;L130;51257;male;NF;NF1;NF1;cell
L130_H06;RT-1;RT;L130;10030;male;NP;NP1;NP1;cell
L130_A07;RT-1;RT;L130;11385;male;TH;TH;TH;cell
L130_B07;RT-1;RT;L130;9560;male;NP;NP1;NP1;cell
L130_C07;RT-1;RT;L130;4804;male;PEP;PEP1;PEP1;cell
L130_D07;RT-1;RT;L130;36577;male;NF;NF4/5;NF5;cell
L130_E07;RT-1;RT;L130;4114;male;NP;NP1;NP1;cell
L130_F07;RT-1;RT;L130;7020;male;TH;TH;TH;cell
L130_G07;RT-1;RT;L130;12393;male;NP;NP2;NP2;cell
L130_H07;RT-1;RT;L130;15176;male;NP;NP1;NP1;cell
L130_A08;RT-1;RT;L130;15280;male;NP;NP1;NP1;cell
L130_B08;RT-1;RT;L130;6197;male;NP;NP1;NP1;cell
L130_C08;RT-1;RT;L130;5157;male;NP;NP2;NP3;cell
L130_D08;RT-1;RT;L130;10065;male;NF;NF4/5;NF4;cell
L130_E08;RT-1;RT;L130;16983;male;TH;TH;TH;cell
L130_F08;RT-1;RT;L130;9204;male;TH;TH;TH;cell
L130_G08;RT-1;RT;L130;14666;male;NP;NP1;NP1;cell
L130_H08;RT-1;RT;L130;7662;male;TH;TH;TH;cell
L130_A09;RT-1;RT;L130;14791;male;TH;TH;TH;cell
L130_B09;RT-1;RT;L130;1663;male;PEP;PEP1;PEP1;cell
L130_C09;RT-1;RT;L130;9775;male;TH;TH;TH;cell
L130_D09;RT-1;RT;L130;11794;male;PEP;PEP1;PEP1;cell
L130_E09;RT-1;RT;L130;50470;male;NF;NF4/5;NF5;cell
L130_F09;RT-1;RT;L130;52026;male;NF;NF4/5;NF5;cell
L130_G09;RT-1;RT;L130;27218;male;NP;NP1;NP1;cell
L130_H09;RT-1;RT;L130;8499;male;TH;TH;TH;cell
L130_A10;RT-1;RT;L130;18761;male;NP;NP1;NP1;cell
L130_B10;RT-1;RT;L130;23698;male;NP;NP1;NP1;cell
L130_C10;RT-1;RT;L130;7480;male;TH;TH;TH;cell
L130_D10;RT-1;RT;L130;19249;male;NP;NP1;NP1;cell
L130_E10;RT-1;RT;L130;81372;male;NF;NF2/3;NF2;cell
L130_F10;RT-1;RT;L130;6802;male;TH;TH;TH;cell
L130_G10;RT-1;RT;L130;2815;male;TH;TH;TH;cell
L130_H10;RT-1;RT;L130;1164;male;PEP;PEP1;PEP1;cell
L130_A11;RT-1;RT;L130;15333;male;NP;NP1;NP1;cell
L130_B11;RT-1;RT;L130;4082;male;TH;TH;TH;cell
L130_C11;RT-1;RT;L130;7539;male;NP;NP1;NP1;cell
L130_D11;RT-1;RT;L130;18950;male;NF;NF2/3;NF2;cell
L130_E11;RT-1;RT;L130;4552;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L130_F11;RT-1;RT;L130;27863;male;NF;NF2/3;NF2;cell
L130_G11;RT-1;RT;L130;20322;male;PEP;PEP2;PEP2;cell
L130_H11;RT-1;RT;L130;11008;male;TH;TH;TH;cell
L130_A12;RT-1;RT;L130;7944;male;TH;TH;TH;cell
L130_B12;RT-1;RT;L130;51312;male;NF;NF4/5;NF5;cell
L130_C12;RT-1;RT;L130;7050;male;TH;TH;TH;cell
L130_D12;RT-1;RT;L130;67198;male;NF;NF4/5;NF5;cell
L130_E12;RT-1;RT;L130;11755;male;TH;TH;TH;cell
L130_F12;RT-1;RT;L130;8602;male;TH;TH;TH;cell
L130_G12;RT-1;RT;L130;8621;male;Medium;Medium;Medium;no cell
L130_H12;RT-1;RT;L130;4361;male;Medium;Medium;Medium;no cell
L141_A01;RT-2;RT;L141;313;male;Empty well;Empty well;Empty well;no cell
L141_B01;RT-2;RT;L141;5400;male;Medium;Medium;Medium;no cell
L141_C01;RT-2;RT;L141;68260;male;PEP;PEP1;PEP1;cell
L141_D01;RT-2;RT;L141;31417;male;NF;NF2/3;NF2;cell
L141_E01;RT-2;RT;L141;107892;male;PEP;PEP1;PEP1;cell
L141_F01;RT-2;RT;L141;125358;male;TH;TH;TH;cell
L141_G01;RT-2;RT;L141;31556;male;NF outlier;NF outlier;NF outlier;cell
L141_H01;RT-2;RT;L141;15586;male;NF outlier;NF outlier;NF outlier;cell
L141_A02;RT-2;RT;L141;56827;male;PEP;PEP1;PEP1;cell
L141_B02;RT-2;RT;L141;61280;male;NF outlier;NF outlier;NF outlier;cell
L141_C02;RT-2;RT;L141;314738;male;PEP;PEP2;PEP2;cell
L141_D02;RT-2;RT;L141;4229;male;NoN;NoN;NoN;cell
L141_E02;RT-2;RT;L141;70043;male;TH;TH;TH;cell
L141_F02;RT-2;RT;L141;694176;male;NF;NF1;NF1;cell
L141_G02;RT-2;RT;L141;217142;male;NP;NP2;NP2;cell
L141_H02;RT-2;RT;L141;289781;male;TH;TH;TH;cell
L141_A03;RT-2;RT;L141;10201;male;NoN;NoN;NoN;cell
L141_B03;RT-2;RT;L141;45938;male;NP;NP2;NP2;cell
L141_C03;RT-2;RT;L141;10104;male;NF outlier;NF outlier;NF outlier;cell
L141_D03;RT-2;RT;L141;166962;male;PEP;PEP1;PEP1;cell
L141_E03;RT-2;RT;L141;441027;male;PEP;PEP1;PEP1;cell
L141_F03;RT-2;RT;L141;214446;male;PEP;PEP1;PEP1;cell
L141_G03;RT-2;RT;L141;209296;male;PEP;PEP1;PEP1;cell
L141_H03;RT-2;RT;L141;127813;male;TH;TH;TH;cell
L141_A04;RT-2;RT;L141;230838;male;TH;TH;TH;cell
L141_B04;RT-2;RT;L141;340610;male;NP;NP1;NP1;cell
L141_C04;RT-2;RT;L141;528258;male;NP;NP1;NP1;cell
L141_D04;RT-2;RT;L141;91121;male;NP;NP1;NP1;cell
L141_E04;RT-2;RT;L141;38169;male;NoN;NoN;NoN;cell
L141_F04;RT-2;RT;L141;10765;male;NoN;NoN;NoN;cell
L141_G04;RT-2;RT;L141;209298;male;NP;NP2;NP3;cell
L141_H04;RT-2;RT;L141;420219;male;NP;NP1;NP1;cell
L141_A05;RT-2;RT;L141;345041;male;NP;NP1;NP1;cell
L141_B05;RT-2;RT;L141;336896;male;TH;TH;TH;cell
L141_C05;RT-2;RT;L141;534956;male;NP;NP1;NP1;cell
L141_D05;RT-2;RT;L141;445471;male;NF;NF1;NF1;cell
L141_E05;RT-2;RT;L141;137271;male;NP;NP1;NP1;cell
L141_F05;RT-2;RT;L141;7549;male;NoN;NoN;NoN;cell
L141_G05;RT-2;RT;L141;330280;male;TH;TH;TH;cell
L141_H05;RT-2;RT;L141;285722;male;NP;NP1;NP1;cell
L141_A06;RT-2;RT;L141;325551;male;TH;TH;TH;cell
L141_B06;RT-2;RT;L141;80262;male;TH;TH;TH;cell
L141_C06;RT-2;RT;L141;131065;male;NP;NP2;NP2;cell
L141_D06;RT-2;RT;L141;169915;male;TH;TH;TH;cell
L141_E06;RT-2;RT;L141;1561517;male;NF;NF2/3;NF2;cell
L141_F06;RT-2;RT;L141;198308;male;NF;NF4/5;NF5;cell
L141_G06;RT-2;RT;L141;182018;male;TH;TH;TH;cell
L141_H06;RT-2;RT;L141;45186;male;NoN;NoN;NoN;cell
L141_A07;RT-2;RT;L141;598265;male;NP;NP1;NP1;cell
L141_B07;RT-2;RT;L141;166939;male;NF;NF2/3;NF2;cell
L141_C07;RT-2;RT;L141;139500;male;TH;TH;TH;cell
L141_D07;RT-2;RT;L141;334376;male;NF;NF4/5;NF5;cell
L141_E07;RT-2;RT;L141;51521;male;NP;NP1;NP1;cell
L141_F07;RT-2;RT;L141;223874;male;TH;TH;TH;cell
L141_G07;RT-2;RT;L141;168002;male;TH;TH;TH;cell
L141_H07;RT-2;RT;L141;337144;male;TH;TH;TH;cell
L141_A08;RT-2;RT;L141;938414;male;NF;NF1;NF1;cell
L141_B08;RT-2;RT;L141;209374;male;NP;NP1;NP1;cell
L141_C08;RT-2;RT;L141;1223527;male;NF;NF2/3;NF2;cell
L141_D08;RT-2;RT;L141;80641;male;TH;TH;TH;cell
L141_E08;RT-2;RT;L141;542232;male;NF;NF2/3;NF2;cell
L141_F08;RT-2;RT;L141;131674;male;NP;NP2;NP2;cell
L141_G08;RT-2;RT;L141;199005;male;TH;TH;TH;cell
L141_H08;RT-2;RT;L141;1862284;male;NF;NF4/5;NF5;cell
L141_A09;RT-2;RT;L141;90873;male;PEP;PEP1;PEP1;cell
L141_B09;RT-2;RT;L141;12289;male;PEP;PEP1;PEP1;cell
L141_C09;RT-2;RT;L141;114440;male;PEP;PEP1;PEP1;cell
L141_D09;RT-2;RT;L141;86806;male;NP;NP2;NP3;cell
L141_E09;RT-2;RT;L141;10464;male;NF outlier;NF outlier;NF outlier;cell
L141_F09;RT-2;RT;L141;111582;male;TH;TH;TH;cell
L141_G09;RT-2;RT;L141;274740;male;TH;TH;TH;cell
L141_H09;RT-2;RT;L141;153204;male;TH;TH;TH;cell
L141_A10;RT-2;RT;L141;972250;male;NF;NF2/3;NF3;cell
L141_B10;RT-2;RT;L141;155070;male;TH;TH;TH;cell
L141_C10;RT-2;RT;L141;204674;male;TH;TH;TH;cell
L141_D10;RT-2;RT;L141;140258;male;TH;TH;TH;cell
L141_E10;RT-2;RT;L141;866650;male;NF;NF4/5;NF5;cell
L141_F10;RT-2;RT;L141;228936;male;NF;NF4/5;NF4;cell
L141_G10;RT-2;RT;L141;355562;male;NF;NF2/3;NF2;cell
L141_H10;RT-2;RT;L141;113941;male;NF;NF1;NF1;cell
L141_A11;RT-2;RT;L141;359496;male;NF;NF2/3;NF2;cell
L141_B11;RT-2;RT;L141;105332;male;TH;TH;TH;cell
L141_C11;RT-2;RT;L141;352345;male;NF;NF1;NF1;cell
L141_D11;RT-2;RT;L141;45954;male;TH;TH;TH;cell
L141_E11;RT-2;RT;L141;5185;male;NF outlier;NF outlier;NF outlier;cell
L141_F11;RT-2;RT;L141;86141;male;NP;NP2;NP3;cell
L141_G11;RT-2;RT;L141;86593;male;PEP;PEP1;PEP1;cell
L141_H11;RT-2;RT;L141;154153;male;TH;TH;TH;cell
L141_A12;RT-2;RT;L141;286241;male;NF;NF2/3;NF2;cell
L141_B12;RT-2;RT;L141;249039;male;NF;NF4/5;NF4;cell
L141_C12;RT-2;RT;L141;197602;male;TH;TH;TH;cell
L141_D12;RT-2;RT;L141;83685;male;TH;TH;TH;cell
L141_E12;RT-2;RT;L141;666738;male;NF;NF2/3;NF3;cell
